"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Person.java","3","29","The class 'Person' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"2","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Pet.java","3","32","The class 'Pet' is suspected to be a Data Class (WOC=27.273%, NOPA=0, NOAM=8, WMC=12)","Design","DataClass"
"3","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Role.java","3","14","The class 'Role' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"4","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/User.java","3","18","The class 'User' is suspected to be a Data Class (WOC=11.111%, NOPA=0, NOAM=8, WMC=10)","Design","DataClass"
"5","org.springframework.samples.petclinic.model","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/model/Visit.java","3","29","The class 'Visit' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=6, WMC=7)","Design","DataClass"
"6","org.springframework.samples.petclinic.repository.jdbc","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jdbc/JdbcPet.java","3","26","The class 'JdbcPet' is suspected to be a Data Class (WOC=0.000%, NOPA=0, NOAM=4, WMC=4)","Design","DataClass"
"7","org.springframework.samples.petclinic.repository.jpa","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java","3","78","Call to `getSingleResult` on foreign value `countQuery` (degree 1)","Design","LawOfDemeter"
"8","org.springframework.samples.petclinic.repository.jpa","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java","3","88","Call to `getSingleResult` on foreign value `query` (degree 1)","Design","LawOfDemeter"
"9","org.springframework.samples.petclinic.repository.jpa","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/repository/jpa/JpaOwnerRepositoryImpl.java","3","117","Call to `getSingleResult` on foreign value `countQuery` (degree 1)","Design","LawOfDemeter"
"10","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/BindingErrorsResponse.java","3","99","The class 'BindingError' is suspected to be a Data Class (WOC=20.000%, NOPA=0, NOAM=4, WMC=6)","Design","DataClass"
"11","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/OwnerRestController.java","3","17","A value of 26 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"12","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/OwnerRestController.java","3","99","The method 'listOwners(String)' has a cyclomatic complexity of 20.","Design","CyclomaticComplexity"
"13","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/OwnerRestController.java","3","231","The method 'addPetToOwner(Integer, PetFieldsDto)' has a cyclomatic complexity of 13.","Design","CyclomaticComplexity"
"14","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/OwnerRestController.java","3","245","Call to `getBirthDate` on foreign value `pet` (degree 1)","Design","LawOfDemeter"
"15","org.springframework.samples.petclinic.rest.controller","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/rest/controller/OwnerRestController.java","3","250","Call to `getBirthDate` on foreign value `pet` (degree 1)","Design","LawOfDemeter"
"16","org.springframework.samples.petclinic.service","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/service/ClinicServiceImpl.java","3","16","A value of 27 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"17","org.springframework.samples.petclinic.service","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/service/ClinicServiceImpl.java","3","39","Possible God Class (WMC=80, ATFD=51, TCC=13.447%)","Design","GodClass"
"18","org.springframework.samples.petclinic.service","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/service/ClinicServiceImpl.java","3","39","The class 'ClinicServiceImpl' has a total cyclomatic complexity of 80 (highest 26).","Design","CyclomaticComplexity"
"19","org.springframework.samples.petclinic.service","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/service/ClinicServiceImpl.java","3","145","The method 'findAllOwners()' has a cyclomatic complexity of 14.","Design","CyclomaticComplexity"
"20","org.springframework.samples.petclinic.service","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/service/ClinicServiceImpl.java","3","169","Call to `getDate` on foreign value `visit` (degree 1)","Design","LawOfDemeter"
"21","org.springframework.samples.petclinic.service","/home/diogomasc/Documentos/workspace/ws-ifba/tcc/api/src/main/java/org/springframework/samples/petclinic/service/ClinicServiceImpl.java","3","333","The method 'savePet(Pet)' has a cyclomatic complexity of 26.","Design","CyclomaticComplexity"
